Tulossa,Poistuu,Malli,Numero,Kohteen osoite,Postinumero,Postitoimipaikka,Sijaintipaikan tyyppi,Sijaintipaikka,Aukioloaika,Aukioloaika (lisätiedot),Koordinaatti LAT,Koordinaatti LON
,,EP,05517,ITÄKESKUKSENKAARI 6,28130,PORI,TAVARATALO,PRISMA MIKKOLA / POHJOINEN,LIIKETILAN AUKIOLO,,61.454250,21.838410
,,O+,40223,ITÄKESKUKSENKAARI 8,28130,PORI,TAVARATALO,K-CITYMARKET MIKKOLA,24 H AUKIOLO,,61.452940,21.835580
,,P,05752,PRESIDENTINPUISTOKATU 14,28130,PORI,KIOSKI,R-KIOSKI PRESIDENTINPUISTOKATU,24 H AUKIOLO,,61.478090,21.802250
,,EP,05528,SATAKUNNANKATU 23,28130,PORI,KAUPPA,K-SUPERMARKET KAMPUS,LIIKETILAN AUKIOLO,,61.477970,21.789980
,,P,05938,HYVELÄNTIE 1,28200,PORI,KIOSKI,R-KIOSKI  HYVELÄNTIE,24 H AUKIOLO,,61.499140,21.804180
,,P,06005,KOTKANTIE 1,28200,PORI,KAUPPA,K-MARKET MURTOSENMUTKA,24 H AUKIOLO,,61.497550,21.832470
,,O,04978,LUKKARINSANNANTIE 2,28300,PORI,KAUPPA,S-MARKET LUKKARINSANTA,24 H AUKIOLO,,61.488375,21.841450
,,O,05178,VANHAKOIVISTONTIE 10,28360,PORI,KAUPPA,K-SUPERMARKET RUOKAPORI,24 H AUKIOLO,,61.475050,21.822270
,,O+,40214,FRIITALANTIE 18,28400,ULVILA,KAUPPAKESKUS,HANSA,24 H AUKIOLO,,61.428670,21.875840
,,P,05867,RAVANINTIE 1,28450,ULVILA,KAUPPA,SALE VANHA ULVILA,24 H AUKIOLO,,61.435610,21.896110
,,P,06006,KORPRAALINTIE 36,28600,PORI,KAUPPA,K-MARKET LÄNSIPORI,24 H AUKIOLO,,61.487000,21.745120
,,O,04338,ETELÄVÄYLÄ 2,28610,PORI,TAVARATALO,PRISMA LÄNSIPORI,24 H AUKIOLO,,61.478040,21.757580
,,O,04339,ETELÄVÄYLÄ 2,28610,PORI,TAVARATALO,PRISMA LÄNSIPORI,24 H AUKIOLO,,61.478040,21.757600
,,O,04271,HARRY GULLICHSENINTIE 14,28800,PORI,PANKIN KONTTORI,OP PIHLAVA,24 H AUKIOLO,,61.561410,21.613830
,,O,03829,KUIVALAHDENTIE 2 B,29100,LUVIA,PANKIN KONTTORI,OP LUVIA,24 H AUKIOLO,,61.360900,21.623980
,,T,40134,HARJAVALLANKATU 12,29200,HARJAVALTA,KAUPPA,K-SUPERMARKET MYLLY,LIIKETILAN AUKIOLO,,61.313830,22.146430
,,P,05724,HARJAVALLANKATU 13,29200,HARJAVALTA,PANKIN KONTTORI,OP HARJAVALTA,24 H AUKIOLO,,61.313840,22.145210
,,O+,40293,HUOVINKATU 4,29200,HARJAVALTA,TAVARATALO,TOKMANNI HARJAVALTA,LIIKETILAN AUKIOLO,,61.311760,22.136820
,,O,04367,PORINTIE 4,29250,NAKKILA,PANKIN KONTTORI,OP NAKKILA,24 H AUKIOLO,,61.366050,22.003160
,,EP,05625,PALOTIE 2,29600,NOORMARKKU,KAUPPA,K-MARKET NOORMARKKU,24 H AUKIOLO,,61.591580,21.869110
,,O,04032,VANHATIE 17,29630,POMARKKU,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,61.695400,22.011930
,,O,04146,KANKAANPÄÄNTIE 2,29810,SIIKAINEN,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,61.877750,21.823070
,,O+,40310,ETELÄINEN RANTATIE 63,29900,MERIKARVIA,KAUPPA,K-MARKET MERIKARVIA,LIIKETILAN AUKIOLO,,61.857220,21.500740
,,P,05706,KAUPPATIE 51,29900,MERIKARVIA,KAUPPA,S-MARKET MERIKARVIA,24 H AUKIOLO,,61.859859,21.504841
,,T,40125,KARTANONKATU 11,30100,FORSSA,KAUPPAKESKUS,KARTANOKESKUS,LIIKETILAN AUKIOLO,,60.816670,23.628830
,,P,05754,KEITAANKATU 1,30100,FORSSA,HUOLTOASEMA,NESTE AUTOKEIDAS,LIIKETILAN AUKIOLO,,60.825730,23.576090
,,O,05111,SIBELIUKSENKATU 3,30100,FORSSA,PANKIN KONTTORI,OP FORSSA,24 H AUKIOLO,,60.815070,23.629830
,,EP,05613,YHTIÖNKATU,30100,FORSSA,TAVARATALO,K-CITYMARKET KUTOMON KAUPPPAKESKUS,LIIKETILAN AUKIOLO,,60.808130,23.630300
,,EP,05536,MIEMOLANTIE 2,30300,FORSSA,TAVARATALO,TOKMANNI FORSSA,LIIKETILAN AUKIOLO,,60.804790,23.633840
,,P,05854,SIURILANKATU 28,30300,FORSSA,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,60.802740,23.626150
,,O+,40213,JOENSUUNTIE 11,31400,SOMERO,PANKIN KONTTORI,OP SOMERO,24 H AUKIOLO,,60.627210,23.516390
,,O,05064,JOENSUUNTIE 27,31400,SOMERO,PANKIN KONTTORI,SP SOMERO,24 H AUKIOLO,,60.629630,23.513970
,,O,04282,HÄMEENTIE 14,31500,KOSKI TL,PANKIN KONTTORI,POP KOSKI TL,24 H AUKIOLO,,60.654750,23.140980
,,P,05668,KESKUSKATU 12,31600,JOKIOINEN,PANKIN KONTTORI,OP JOKIOINEN,24 H AUKIOLO,,60.803640,23.484610
,,O,03985,HUMPPILANTIE 11,31640,HUMPPILA,PANKIN KONTTORI,OP HUMPPILA,24 H AUKIOLO,,60.921520,23.363450
,,P,05719,KISATIE 2,31760,URJALA,PANKIN KONTTORI,OP URJALA,24 H AUKIOLO,,61.081350,23.549990
,,P,05851,KAUPPAKATU 3,31900,PUNKALAIDUN,KAUPPA,K-SUPERMARKET POURU,24 H AUKIOLO,,61.113140,23.106100
,,O,04982,KURJENMÄENTIE 2,32100,YPÄJÄ,PANKIN KONTTORI,OP YPÄJÄ,24 H AUKIOLO,,60.803502,23.281831
,,P,05928,ALEKSIS KIVEN KATU 11,32200,LOIMAA,TAVARATALO,K-CITYMARKET LOIMAA,24 H AUKIOLO,,60.854470,23.044210
,,EP,05586,KARTANOMÄENKATU 6,32200,LOIMAA,TAVARATALO,TOKMANNI LOIMAA,LIIKETILAN AUKIOLO,,60.853990,23.033780
,,T,40118,KAUPPALANKATU 5-7,32200,LOIMAA,KAUPPAKESKUS,TORIKULMA LOIMAA,LIIKETILAN AUKIOLO,,60.851900,23.057220
,,O+,40256,VÄINÄMÖISENKATU 6,32200,LOIMAA,PANKIN KONTTORI,OP LOIMAA,24 H AUKIOLO,,60.850500,23.055800
,,O,03939,HIRVIKOSKENTIE 219,32210,LOIMAA,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,60.868210,22.987160
